"Payer Name","PayorID"
"AECOM - WC","J2408"
"AEGIS ADMINISTRATIVE SERVICES","CB637"
"AEGIS SECURITY INSURANCE COMPANY","33898"
"AETNA","60054"
"AETNA - IL MEDICAID","26337"
"AETNA - SENIOR SUPPLEMENTAL (ERAS ONLY)","62118"
"AETNA AFFORDABLE HEALTH CHOICE","57604"
"AETNA AMERICAN CONTINENTAL (ERAS ONLY)","62118"
"AETNA BETTER HEALTH -PA MEDICAID (SCHALLER)","23228"
"AETNA BETTER HEALTH CALIFORNIA","128CA"
"AETNA BETTER HEALTH FL","128FL"
"AETNA BETTER HEALTH OF ILLINOIS","68024"
"AETNA BETTER HEALTH OF ILLINOIS","26337"
"AETNA BETTER HEALTH OF KANSAS","128KS"
"AETNA BETTER HEALTH OF KENTUCKY","128KY"
"AETNA BETTER HEALTH OF LOUISIANA","128LA"
"AETNA BETTER HEALTH OF MARYLAND","128MD"
"AETNA BETTER HEALTH OF MICHIGAN","128MI"
"AETNA BETTER HEALTH OF NEBRASKA","42130"
"AETNA BETTER HEALTH OF NEW JERSEY","46320"
"AETNA BETTER HEALTH OF NEW YORK","34734"
"AETNA BETTER HEALTH OF OHIO","50023"
"AETNA BETTER HEALTH OF VIRGINIA","128VA"
"AETNA BETTER HEALTH OF WEST VIRGINA","128WV"
"AETNA OHIO RISE","45221"
"AETNA TX MEDICAID & CHIP","38692"
"AETNA U.S. HEALTHCARE","J1JVL"
"AETNA US HEALTHCARE","23222"
"AF SPECIALTY – ASSIGNED RISK SOLUTIONS (WC)","J2279"
"AF SPECIALTY – ASSIGNED RISK SOLUTIONS (WC)","J2279"
"AFFILIATED DOCTORS OF ORANGE CO","ADOCS"
"AFFILIATED PARTNERS IPA","POP09"
"AFFINITY CHILD HEALTH PLUS","13334"
"AFFINITY FAMILY HEALTH PLUS","13334"
"AFFINITY HEALTH","13334"
"AFFINITY MEDICAID","13334"
"AFFINITY MEDICAID ADVANTAGE","13333"
"AFFINITY MEDICAL GROUP","46594"
"AFFINITY MEDICARE ADVANTAGE","13333"
"AFOGNAK NATIVE CORP - WC","J2409"
"AFOGNAK NATIVE CORP - WC","J2409"
"AFTRA HEALTH FUND NY","13346"
"AG FACILITIES OPERATIONS, LLC (WC)","41556"
"AGERIGHT ADVANTAGE","ARA01"
"AGEWELL NEW YORK","AWNY6"
"AGILENT TECHNOLOGIES, INC. - WC","J2410"
"AGILENT TECHNOLOGIES, INC. - WC","J2410"
"AGRI BEEF CO. (WC)","41556"
"AHRMA (IL ONLY) - CORVEL (WC)","J3958"
"AHRMA (IL ONLY) - CORVEL (WC)","J3958"
"AIAPT - ERA ONLY","AIAPT"
"AIDS HEALTHCARE FOUNDATION","95422"
"AIG /</br> CHARTIS (WC)(ATTACHMENT)","19402"
"AIG EDUCATIONAL MARKETS","22195"
"AIG PRIVATE CLIENT GROUP (AUTO)","C1104"
"AIG PRIVATE CLIENT GROUP (AUTO)","C1104"
"AIR TRANSPORT SERVICES GROUP, INC - WC","J2411"
"AIR TRANSPORT SERVICES GROUP, INC - WC","J2411"
"AIRBNB INCORPORATED - WC","J2412"
"AIRBNB INCORPORATED - WC","J2412"
"AIRCRAFT BRAKING SYSTEM CORP - WC","J2413"
"AIRCRAFT BRAKING SYSTEM CORP - WC","J2413"
"AITHER HEALTH","64884"
"AIX SPECIALTY INSCO (AUTO)","J3996"
"AIX SPECIALTY INSCO (AUTO)","J3996"
"AIX SPECIALTY INSCO (WC)","P3996"
"AIX SPECIALTY INSCO (WC)","P3996"
"AL MED HCLA","MPM28"
"ALACURA MEDICAL TRANSPORTATION MANAGEMENT LLC","RP065"
"ALAFFIA HEALTH","89210"
"ALAMEDA ALLIANCE FOR HEALTH","95327"
"ALAMITOS IPA","AIPAZ"
"ALARM CONTRACTORS (WC)","J3859"
"ALARM CONTRACTORS (WC)","J3859"
"ALASKA ELECTRICAL HEALTH & WELFARE (DENTAL CLAIMS ONLY)","92600"
"ALASKA NATIONAL INSURANCE - CORVEL (AUTO)","J1577"
"ALASKA NATIONAL INSURANCE - CORVEL (AUTO)","J1577"
"ALASKA NATIONAL INSURANCE - CORVEL (WC)","P1577"
"ALASKA NATIONAL INSURANCE - CORVEL (WC)","P1577"
"ALBANY CITY SCHOOL DISTRICT (NY) - CORVEL (WC)(ATTACHMENT)","J4097"
"ALBERTSONS COMPANIES WC SELF-ADMIN - WC","J2414"
"ALBERTSONS COMPANIES WC SELF-ADMIN - WC","J2414"
"ALBERTSONS LLC - WC","J2415"
"ALBERTSONS LLC - WC","J2415"
"ALBERTSONS, INC (WC)(ATTACHMENT)","J2376"
"ALBUQUERQUE PUBLIC SCHOOLS (APS)","85600"
"ALEX LEE, INC. - CORVEL (AUTO)","J2166"
"ALEX LEE, INC. - CORVEL (AUTO)","J2166"
"ALIERA HEALTH CARE","ALH01"
"ALIERA HEALTHCARE - TRINITY CLAIMS","TRIN1"
"ALIGN NETWORKS (ONE CALL PHYSICAL THERAPY) (WC)","J1716"
"ALIGN SENIOR CARE (FL)","ASFL1"
"ALIGN SENIOR CARE (MI)","ASMI1"
"ALIGN SENIOR CARE (VA)","ASVA1"
"ALIGN SENIOR CARE OF CLAIFORNIA","ASCA1"
"ALIGNED COMMUNITY PHYSICIANS","ACP17"
"ALIGNMENT HEALTHCARE","AHCA1"
"ALIVI HEALTH","ALIVI"
"ALIVI THERAPY NETWORK","ATNET"
"ALL CARE MEDICAL GROUP","ALLCA"
"ALL RISK STAFFING (91) - AUTO","J3293"
"ALL RISK STAFFING (91) - AUTO","J3293"
"ALL RISK USL AND H (WC)","J3696"
"ALL RISK USL AND H (WC)","J3696"
"ALLCARE ADVANTAGE","MRCHP"
"ALLCARE HEALTH CCO","MRIPA"
"ALLCARE IPA","24333"
"ALLCARE PEBB","26158"
"ALLEGEANT","52193"
"ALLEGHENY TECHNOLOGIES, INC - WC","J2416"
"ALLEGHENY TECHNOLOGIES, INC - WC","J2416"
"ALLEGIAN ADVANTAGE","82238"
"ALLEGIAN CHOICE","55649"
"ALLEGIANCE BENEFIT PLAN MANAGEMENT","81040"
"ALLEN CANNING (WC)","J1740"
"ALLEN CANNING (WC)","J1740"
"ALLERGAN W.C. HOLDING, INC. - CORVEL (WC)","J2341"
"ALLERGAN W.C. HOLDING, INC. - CORVEL (WC)","J2341"
"ALLIANCE BEHAVIORAL HEALTH","23071"
"ALLIANCE COAL","93658"
"ALLIANCE PPO,LLC","52148"
"ALLIANT ENERGY - CORVEL (AUTO)","J1619"
"ALLIANT ENERGY - CORVEL (AUTO)","J1619"
"ALLIANT ENERGY - CORVEL (WC)","P1619"
"ALLIANT ENERGY - CORVEL (WC)","P1619"
"ALLIANT HEALTH PLANS(GEORGIA)","58234"
"ALLIANZ GLOBAL ASSISTANCE","50749"
"ALLIANZ GLOBAL CORPORATE & SPECIALTY (AGCS) (WC)","J2332"
"ALLIANZ OF AMERICA, INC. - WC","J2418"
"ALLIANZ OF AMERICA, INC. - WC","J2418"
"ALLIANZ RESOLUTION MANAGEMENT(WC)(ATTACHMENT)","J2326"
"ALLIED BENEFIT SYSTEMS","37308"
"ALLIED CLAIMS ADMINISTRATION (WC)(ATTACHMENT)","J1733"
"ALLIED CONSTRUCTION (VIA EMC RISK SERVICES) (WC)","J1118"
"ALLIED HEALTH SYSTEMS CHIROPRACTICUHIN","SX156"
"ALLIED INSURANCE COMPANIES (WC)","J1550"
"ALLIED PHYSICIANS","NMM01"
"ALLIED PROPERTY AND CASUALTY INS CO (WC)","J1550"
"ALLINA HEALTH - AETNA","54398"
"ALLISON TRANSMISSION, INC. - WC","J2419"
"ALLISON TRANSMISSION, INC. - WC","J2419"
"ALLMERICA FINANCIAL BENEFITS INSURANCE CO (AUTO)","J1589"
"ALLMERICA FINANCIAL BENEFITS INSURANCE CO (AUTO)","J1589"
"ALLMERICA FINANCIAL BENEFITS INSURANCE COMP (WC)","P1589"
"ALLMERICA FINANCIAL BENEFITS INSURANCE COMP (WC)","P1589"
"ALLSTATE (AUTO)(ATTACHMENT)","C1037"
"ALLSTATE - NJ ONLY (AUTO)","C1089"
"ALLSTATE - NJ ONLY (AUTO)","C1089"
"ALLSTATE CORP - TPA PROGRAM, THE - WC","J2420"
"ALLSTATE CORP - TPA PROGRAM, THE - WC","J2420"
"ALLSTATE NJ (AUTO)(ATTACHMENT)","A1089"
"ALLY FINANCIAL INC - WC","J2421"
"ALLY FINANCIAL INC - WC","J2421"
"ALOHACARE","ALOHA"
"ALPHA CARE MEDICAL GROUP NMM","nmm04"
"ALPHA HEALTH PLAN INC.","59335"
"ALPHACARE MEDICAL GROUP","MPM32"
"ALTA HEALTHCARE (WC)","41556"
"ALTAMED","ALTAM"
"ALTAMED HEALTH SERVICES CORPORATION","95712"
"ALTERNATIVE RISK MANAGEMENT (ARM)","63240"
"ALTERNATIVE SERVICE CONCEPTS (ASC) (AUTO)","J2149"
"ALTERNATIVE SERVICE CONCEPTS (ASC) (AUTO)","J2149"
"ALTERNATIVE SERVICE CONCEPTS (ASC) (WC)","P2149"
"ALTERNATIVE SERVICE CONCEPTS (ASC) (WC)","P2149"
"ALTERRA MOUNTAIN CO-CORVEL (ATTACHMENTS)","J4362"
"ALTERWOOD ADVANTAGE","RP016"
"ALTRES INC. - WC","J2423"
"ALTRES INC. - WC","J2423"
"ALUMINUM PRECISION PRODUCTS - CORVEL (WC)(ATTACHMENT)","E4117"
"ALVARADO IPA","MPM39"
"ALVEY SYSTEMS (AON RISK) (WC)","J1025"
"ALVEY SYSTEMS (AON RISK) (WC)","J1025"
"AMA INSURANCE","AMAIN"
"AMALGAMATED LIFE - PA ALICARE","13343"
"AMALGAMATED LIFE INS CO","13550"
"AMAZON.COM, INC. - WC","J2424"
"AMAZON.COM, INC. - WC","J2424"
"AMBETTER FROM BUCKEYE COMMUNITY HEALTH PLAN","68069"
"AMBETTER FROM MERIDIAN","68069"
"AMBETTER FROM PEACH  STATE  HEALTH  PLAN","68049"
"AMBETTER FROM SUPERIOR HEALTH","68069"
"AMBETTER OF ARKANSAS","68069"
"AMBETTER OF MO","68069"
"AMCO INS CO (WC)","J1550"
"AMERIBEN SOLUTIONS","75137"
"AMERICA FIRST (WC)","J1427"
"AMERICA FIRST (WC)","J1427"
"AMERICA SAMOA MEDICARE (JE NORIDIAN)","SMAM0"
"AMERICAN AIRLINES - DOI AFTER 9/</br>1/</br>2014 ONLY (WC)","J2000"
"AMERICAN AIRLINES - DOI AFTER 9/</br>1/</br>2014 ONLY (WC)","J2000"
"AMERICAN AIRLINES GROUP - WC","J2425"
"AMERICAN AIRLINES GROUP - WC","J2425"
"AMERICAN ALTERNATIVE INS CO (WC) (ATTACHMENT)","E0581"
"AMERICAN ALTERNATIVE INSURANCE CORPORATIO (AUTO)","J4030"
"AMERICAN ALTERNATIVE INSURANCE CORPORATIO (AUTO)","J4030"
"AMERICAN ALTERNATIVE INSURANCE CORPORATION (WC)","P4030"
"AMERICAN ALTERNATIVE INSURANCE CORPORATION (WC)","P4030"
"AMERICAN APPAREL, INC (DOI PRIOR TO 7/</br>14/</br>16 (WC)","J2098"
"AMERICAN APPAREL, INC (DOI PRIOR TO 7/</br>14/</br>16 (WC)","J2098"
"AMERICAN APPAREL, LLC (DOI AFTER 7/</br>14/</br>16) (WC)","J2189"
"AMERICAN APPAREL, LLC (DOI AFTER 7/</br>14/</br>16) (WC)","J2189"
"AMERICAN AXLE AND MANUFACTURING - WC","J2426"
"AMERICAN AXLE AND MANUFACTURING - WC","J2426"
"AMERICAN BAPTIST HOMES OF THE WEST (1580) - (WC)","J2427"
"AMERICAN BAPTIST HOMES OF THE WEST (1580) - (WC)","J2427"
"AMERICAN BEHAVIORAL","63103"
"AMERICAN BLUE RIBBON HOLDINGS, L.L.C. - WC","J2428"
"AMERICAN BLUE RIBBON HOLDINGS, L.L.C. - WC","J2428"
"AMERICAN BRASS & IRON FOUNDRY (WC)","J2099"
"AMERICAN BRASS & IRON FOUNDRY (WC)","J2099"
"AMERICAN CHEMICAL SOCIETY - WC","J2429"
"AMERICAN CHEMICAL SOCIETY - WC","J2429"
"AMERICAN CLAIMS MANAGEMENT (ACM) (WC)","J1236"
"AMERICAN CLAIMS MANAGEMENT (ACM) (WC)","J1236"
"AMERICAN COIN MERCHANDISING, INC (WC)","J1026"
"AMERICAN COIN MERCHANDISING, INC (WC)","J1026"
"AMERICAN COMMUNITY MUTUAL INS","60305"
"AMERICAN COUNTRY INSURANCE COMPANY | AMER (AUTO)","C1075"
"AMERICAN COUNTRY INSURANCE COMPANY | AMERIC (WC)","J1249"
"AMERICAN COUNTRY INSURANCE COMPANY | AMERIC (WC)","J1249"
"AMERICAN CYANAMID (WC)","J1027"
"AMERICAN CYANAMID (WC)","J1027"
"AMERICAN EXPRESS - WC","J2430"
"AMERICAN EXPRESS - WC","J2430"
"AMERICAN FAMILY HOME INSURANCE COMPANY (AUTO)","J4031"
"AMERICAN FAMILY HOME INSURANCE COMPANY (AUTO)","J4031"
"AMERICAN FAMILY HOME INSURANCE COMPANY (WC)","P4031"
"AMERICAN FAMILY HOME INSURANCE COMPANY (WC)","P4031"
"AMERICAN FAMILY INSURANCE","TH095"
"AMERICAN FAMILY LIFE ASSURANCE - AFLAC - ERA ONLY","AFLAC"
"AMERICAN FAMILY MUTUAL INSURANCE CO SI - WC","J2431"
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY (AUTO)","C1055"
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY (W (WC)","J2134"
"AMERICAN FAMILY MUTUAL INSURANCE COMPANY (W (WC)","J2134"
"AMERICAN FURNITURE WAREHOUSE (WC)","41556"
"AMERICAN FURNITURE WAREHOUSE - CORVEL (WC)(ATTACHMENT)","E4118"
"AMERICAN GENERAL","62030"
"AMERICAN HEALTH ADVANTAGE OF MS","31135"
"AMERICAN HEALTH ADVANTAGE OF OK","31125"
"AMERICAN HEALTH ADVANTAGE OF TN","31130"
"AMERICAN HEALTH ADVANTAGE OF TX","31155"
"AMERICAN HEALTH MEDICARE","L0220"
"AMERICAN HEALTH PLANS OF UT","31145"
"AMERICAN HEALTHCARE ALLIANCE","1066"
"AMERICAN HERITAGE","77083"
"AMERICAN HONDA MOTOR CO., INC. - WC","J2432"
"AMERICAN HONDA MOTOR CO., INC. - WC","J2432"
"AMERICAN INSURANCE ADMINISTRATORS (AIA)","26119"
"AMERICAN INSURANCE COMPANY OF TX","81949"
"AMERICAN LIBERTY INSURANCE COMPANY (WC)","41556"
"AMERICAN LUMBER UNDERWRITERS - WC","J2433"
"AMERICAN LUMBER UNDERWRITERS - WC","J2433"
"AMERICAN MINING INSURANCE GROUP, LLC (WC)","J1524"
"AMERICAN MINING INSURANCE GROUP, LLC (WC)","J1524"
"AMERICAN MODERN HOME INS CO (AUTO)(ATTACHMENT)","A4032"
"AMERICAN MODERN HOME INSURANCE COMPANY (AUTO)","J4032"
"AMERICAN MODERN HOME INSURANCE COMPANY (AUTO)","J4032"
"AMERICAN MODERN HOME INSURANCE COMPANY (WC)","P4032"
"AMERICAN MODERN HOME INSURANCE COMPANY (WC)","P4032"
"AMERICAN NATIONAL (AUTO)","J2295"
"AMERICAN NATIONAL (AUTO)","J2295"
"AMERICAN NATIONAL INSURACE CO TX","74048"
"AMERICAN NATIONAL LIFE INS. CO. OF TX - ERA ONLY","ANLIT"
"AMERICAN NATIONAL RED CROSS - WC","J2434"
"AMERICAN NATIONAL RED CROSS - WC","J2434"
"AMERICAN PLAN ADMINISTRATORS","95606"
"AMERICAN POSTAL WORKERS UNION HEALTH PLAN","44444"
"AMERICAN PROGRESSIVE - ERA ONLY","ECAMP"
"AMERICAN REPUBLIC INSURANCE","42011"
"AMERICAN SAFETY CASUALTY INSURANCE COMPANY (WC)","J4135"
"AMERICAN SELECT - WC","P3317"
"AMERICAN SELECT AUTO","J3317"
"AMERICAN SENTINEL INSURANCE COMPANY","17965"
"AMERICAN SPECIALTY COMPANIES (WC)","J1028"
"AMERICAN SPECIALTY COMPANIES (WC)","J1028"
"AMERICAN SPECIALTY HEALTH (ASHN)","43146"
"AMERICAN SPECIALTY HEALTH PLAN","ASHP1"
"AMERICAN SPECIALTY INS. /</br> MIB (WC)","J1029"
"AMERICAN SPECIALTY INS. /</br> MIB (WC)","J1029"
"AMERICAN STANDARD INSURANCE COMPANY OF OH (AUTO)","C1055"
"AMERICAN STANDARD INSURANCE COMPANY OF OH (AUTO)","C1055"
"AMERICAN STANDARD INSURANCE COMPANY OF WI (AUTO)","C1055"
"AMERICAN STATES WATER COMPANY - WC","J2435"
"AMERICAN STATES WATER COMPANY - WC","J2435"
"AMERICAN THERAPY ADMINISTRATORS ATA WISCONSIN","ATHAL"
"AMERICAN WORKER HEALTH PLAN FAMILY","37322"
"AMERICANS HEALTH PLAN","AHP01"
"AMERICARE SYSTEMS, INC. - WC","J2436"
"AMERICARE SYSTEMS, INC. - WC","J2436"
"AMERICAS 1ST CHOICE HEALTH PLANS - SC","20553"
"AMERICAS CHOICE","20029"
"AMERICAS HEALTH MANAGEMENT SERVICES, LLC","PAAHM"
"AMERICAS PPO","16120"
"AMERICAS TPA","41178"
"AMERICOLD LOGISTICS LLC - WC","J2437"
"AMERICOLD LOGISTICS LLC - WC","J2437"
"AMERIGROUP","28804"
"AMERIGROUP OF IOWA","26375"
"AMERIHEALTH","SX075"
"AMERIHEALTH - DISTRICT OF COLUMBIA","77002"
"AMERIHEALTH - FIRST CHOICE VIP CARE PLUS - SC","77009"
"AMERIHEALTH ADMINISTRATORS","54763"
"AMERIHEALTH CARITAS DELAWARE","77799"
"AMERIHEALTH CARITAS HEALTHPLAN NEW  HAMPSHIRE","87716"
"AMERIHEALTH CARITAS HEALTHPLAN NORTH CAROLINA (ERA ONLY)","81671"
"AMERIHEALTH CARITAS IOWA","77075"
"AMERIHEALTH CARITAS LOUISIANA","27357"
"AMERIHEALTH CARITAS NEXT A PRODUCT OF AMERIHEAL","45408"
"AMERIHEALTH CARITAS OH MCAID MCE","35374"
"AMERIHEALTH CARITAS OH MCAID MCE TRANSPORTATION","42435"
"AMERIHEALTH CARITAS PA COMMUNITY HEALTHCHOICES","77062"
"AMERIHEALTH CARITAS PENNSYLVANIA","22248"
"AMERIHEALTH CARITAS VIP CARE PLUS (MICHIGAN)","77013"
"AMERIHEALTH CASUALTY SERVICES (AUTO)","J3969"
"AMERIHEALTH CASUALTY SERVICES (AUTO)","J3969"
"AMERIHEALTH CASUALTY SERVICES (WC)","P3969"
"AMERIHEALTH CASUALTY SERVICES (WC)","P3969"
"AMERIHEALTH NJ HMO","95044"
"AMERIHEALTH NORTHEAST","77001"
"AMERIPRISE AUTO & HOME INSURANCE (AUTO)","12504"
"AMERISAFE (WC)","J1447"
"AMERISAFE RISK SERVICES (WC)","J1447"
"AMERISOURCEBERGEN CORPORATION - WC","J2439"
"AMERISOURCEBERGEN CORPORATION - WC","J2439"
"AMERISURE - ERA ONLY","ECAMS"
"AMERISURE INSURANCE (AUTO)","J1206"
"AMERISURE INSURANCE (AUTO)","J1206"
"AMERISURE INSURANCE (WC)","P1206"
"AMERISURE INSURANCE (WC)","P1206"
"AMERISURE MUTUAL INSURANCE (AUTO)","J1205"
"AMERISURE MUTUAL INSURANCE (AUTO)","J1205"
"AMERISURE MUTUAL INSURANCE (WC)","P1205"
"AMERISURE MUTUAL INSURANCE (WC)","P1205"
"AMERITAS LIFE INSURANCE CORP - ERA ONLY","ECAML"
"AMERIWOOD INDUSTRIES - WC","J2440"
"AMERIWOOD INDUSTRIES - WC","J2440"
"AMETEK, INC - WC","J2441"
"AMETEK, INC - WC","J2441"
"AMFED COMPANIES LLC (AMFED NATIONAL INSURAN (WC)","J3735"
"AMFED COMPANIES LLC (AMFED NATIONAL INSURAN (WC)","J3735"
"AMFIRST INSURANCE COMPANY","64090"
"AMGUARD INSURANCE COMPANY - GUARD DBA (WC)","J1453"
"AMICA INSURANCE COMPANY (AUTO)","C1106"
"AMICA INSURANCE COMPANY (AUTO)","C1106"
